"Salmon nigiri",1
"Pappardelle alla Bolognese",1
"Pork sausage roll",1
"Philadelphia maki",1
"Fettuccine Alfredo",1
"Meatballs with sauce",1
"Pasta Carbonara",1
"Risotto with seafood",1
"Tuna sashimi",1
"Chicken milanese",1
"Bruschette with Tomato",1
"Pasta with Tomato and Basil",1
"Souvlaki",1
"Caesar Salad",1
"French fries with sausages",1
"Mushroom Risotto",1
"Linguine with clams",1
"Tiramisù",1
"Salmon nigiri",2
"Pappardelle alla Bolognese",2
"Pork belly buns",2
"Fettuccine Alfredo",2
"Barbecue Ribs",2
"Tuna sashimi",2
"Bruschette with Tomato",2
"Ricotta stuffed Ravioli",2
"Califlower penne",2
"Pasta with Tomato and Basil",2
"Pasta and Beans",2
"French fries with sausages",2
"Chicken wings",2
"Vegetable Soup",2
"Lasagne",2
"Chilli con carne",2
"Linguine with clams",2
"Teriyaki Chicken donburi",2
"California maki",2
"Salmon nigiri",3
"Pork sausage roll",3
"Philadelphia maki",3
"Pork belly buns",3
"Pasta Carbonara",3
"Scotch eggs",3
"Pizza",3
"Barbecue Ribs",3
"Ricotta stuffed Ravioli",3
"Califlower penne",3
"French fries with sausages",3
"Vegetable Soup",3
"Lasagne",3
"Ebiten maki",3
"Linguine with clams",3
"Teriyaki Chicken donburi",3
"California maki",3
"Caprese Salad",3
"Philadelphia maki",4
"Pork belly buns",4
"Pizza",4
"Barbecue Ribs",4
"Tuna sashimi",4
"Chicken milanese",4
"Souvlaki",4
"Caesar Salad",4
"Cheeseburger",4
"French fries with sausages",4
"Chicken wings",4
"Mushroom Risotto",4
"Chilli con carne",4
"Ebiten maki",4
"Linguine with clams",4
"Tiramisù",4
"Teriyaki Chicken donburi",4
"Salmon nigiri",5
"Pork sausage roll",5
"Philadelphia maki",5
"Pork belly buns",5
"Meatballs with sauce",5
"Pasta Carbonara",5
"Scotch eggs",5
"Pizza",5
"Tuna sashimi",5
"Bruschette with Tomato",5
"Ricotta stuffed Ravioli",5
"Califlower penne",5
"Pasta with Tomato and Basil",5
"Caesar Salad",5
"Pasta and Beans",5
"Cheeseburger",5
"Chicken Fajitas",5
"French fries with sausages",5
"Chicken wings",5
"Mushroom Risotto",5
"Katsu Curry",5
"Caprese Salad",5
"Salmon nigiri",6
"Pappardelle alla Bolognese",6
"Philadelphia maki",6
"Pork belly buns",6
"Meatballs with sauce",6
"Pasta Carbonara",6
"Scotch eggs",6
"Risotto with seafood",6
"Tuna sashimi",6
"Chicken milanese",6
"Pasta with Tomato and Basil",6
"Pasta and Beans",6
"Cheeseburger",6
"Chicken Fajitas",6
"French fries with sausages",6
"Chicken wings",6
"Teriyaki Chicken donburi",6
"California maki",6
"Katsu Curry",6
"Salmon nigiri",7
"Pappardelle alla Bolognese",7
"Pork sausage roll",7
"Philadelphia maki",7
"Meatballs with sauce",7
"Pasta Carbonara",7
"Risotto with seafood",7
"Bruschette with Tomato",7
"Califlower penne",7
"Souvlaki",7
"Caesar Salad",7
"Pasta and Beans",7
"Chicken Fajitas",7
"French fries with sausages",7
"Chicken wings",7
"Vegetable Soup",7
"Ebiten maki",7
"Linguine with clams",7
"Teriyaki Chicken donburi",7
"California maki",7
"Pappardelle alla Bolognese",8
"Philadelphia maki",8
"Fettuccine Alfredo",8
"Scotch eggs",8
"Pizza",8
"Barbecue Ribs",8
"Bruschette with Tomato",8
"Califlower penne",8
"Pasta with Tomato and Basil",8
"Caesar Salad",8
"Cheeseburger",8
"Mushroom Risotto",8
"Linguine with clams",8
"Fish and chips",8
"California maki",8
"Caprese Salad",8
"Pork sausage roll",9
"Philadelphia maki",9
"Pork belly buns",9
"Fettuccine Alfredo",9
"Pizza",9
"Barbecue Ribs",9
"Tuna sashimi",9
"Chicken milanese",9
"Bruschette with Tomato",9
"Chicken Fajitas",9
"French fries with sausages",9
"Mushroom Risotto",9
"Tiramisù",9
"Katsu Curry",9
"Salmon nigiri",10
"Pork belly buns",10
"Fettuccine Alfredo",10
"Pasta Carbonara",10
"Scotch eggs",10
"Barbecue Ribs",10
"Risotto with seafood",10
"Chicken milanese",10
"Bruschette with Tomato",10
"Ricotta stuffed Ravioli",10
"Califlower penne",10
"Souvlaki",10
"Caesar Salad",10
"Cheeseburger",10
"Chicken Fajitas",10
"Chicken wings",10
"Vegetable Soup",10
"Lasagne",10
"Mushroom Risotto",10
"Ebiten maki",10
"Linguine with clams",10
"Teriyaki Chicken donburi",10
"California maki",10
"Katsu Curry",10
"Salmon nigiri",11
"Pappardelle alla Bolognese",11
"Pork sausage roll",11
"Pork belly buns",11
"Fettuccine Alfredo",11
"Pasta Carbonara",11
"Scotch eggs",11
"Pizza",11
"Chicken milanese",11
"Ricotta stuffed Ravioli",11
"Souvlaki",11
"Caesar Salad",11
"French fries with sausages",11
"Vegetable Soup",11
"Lasagne",11
"Linguine with clams",11
"Teriyaki Chicken donburi",11
"Fish and chips",11
"California maki",11
"Caprese Salad",11
"Salmon nigiri",12
"Pappardelle alla Bolognese",12
"Pork sausage roll",12
"Philadelphia maki",12
"Pasta Carbonara",12
"Scotch eggs",12
"Barbecue Ribs",12
"Risotto with seafood",12
"Tuna sashimi",12
"Bruschette with Tomato",12
"Ricotta stuffed Ravioli",12
"Cheeseburger",12
"Chicken Fajitas",12
"French fries with sausages",12
"Mushroom Risotto",12
"Linguine with clams",12
"Tiramisù",12
"Teriyaki Chicken donburi",12
"California maki",12
"Katsu Curry",12
"Philadelphia maki",13
"Fettuccine Alfredo",13
"Meatballs with sauce",13
"Pasta Carbonara",13
"Pizza",13
"Risotto with seafood",13
"Tuna sashimi",13
"Chicken milanese",13
"Bruschette with Tomato",13
"Ricotta stuffed Ravioli",13
"Pasta with Tomato and Basil",13
"Caesar Salad",13
"Pasta and Beans",13
"Cheeseburger",13
"French fries with sausages",13
"Lasagne",13
"Ebiten maki",13
"Linguine with clams",13
"Teriyaki Chicken donburi",13
"Katsu Curry",13
"Caprese Salad",13
"Meatballs with sauce",14
"Pasta Carbonara",14
"Scotch eggs",14
"Pizza",14
"Risotto with seafood",14
"Tuna sashimi",14
"Chicken milanese",14
"Bruschette with Tomato",14
"Califlower penne",14
"Souvlaki",14
"Caesar Salad",14
"Cheeseburger",14
"Lasagne",14
"Chilli con carne",14
"Katsu Curry",14
"Caprese Salad",14
"Salmon nigiri",15
"Pork belly buns",15
"Meatballs with sauce",15
"Scotch eggs",15
"Risotto with seafood",15
"Chicken milanese",15
"Souvlaki",15
"Caesar Salad",15
"Pasta and Beans",15
"Cheeseburger",15
"French fries with sausages",15
"Mushroom Risotto",15
"Tiramisù",15
"Teriyaki Chicken donburi",15
"Fish and chips",15
"Caprese Salad",15
"Pappardelle alla Bolognese",16
"Philadelphia maki",16
"Pork belly buns",16
"Fettuccine Alfredo",16
"Pasta Carbonara",16
"Scotch eggs",16
"Pizza",16
"Risotto with seafood",16
"Tuna sashimi",16
"Ricotta stuffed Ravioli",16
"Califlower penne",16
"Pasta with Tomato and Basil",16
"Caesar Salad",16
"Pasta and Beans",16
"Cheeseburger",16
"Chicken wings",16
"Vegetable Soup",16
"Lasagne",16
"Mushroom Risotto",16
"Linguine with clams",16
"Fish and chips",16
"California maki",16
"Katsu Curry",16
"Caprese Salad",16
"Pork belly buns",17
"Meatballs with sauce",17
"Barbecue Ribs",17
"Risotto with seafood",17
"Tuna sashimi",17
"Bruschette with Tomato",17
"Ricotta stuffed Ravioli",17
"Pasta with Tomato and Basil",17
"Pasta and Beans",17
"Chicken Fajitas",17
"Chicken wings",17
"Vegetable Soup",17
"Chilli con carne",17
"Linguine with clams",17
"Teriyaki Chicken donburi",17
"Katsu Curry",17
"Caprese Salad",17
"Salmon nigiri",18
"Pappardelle alla Bolognese",18
"Pork sausage roll",18
"Philadelphia maki",18
"Fettuccine Alfredo",18
"Meatballs with sauce",18
"Pizza",18
"Barbecue Ribs",18
"Risotto with seafood",18
"Tuna sashimi",18
"Bruschette with Tomato",18
"Caesar Salad",18
"Pasta and Beans",18
"Cheeseburger",18
"Chicken Fajitas",18
"French fries with sausages",18
"Mushroom Risotto",18
"Chilli con carne",18
"Linguine with clams",18
"California maki",18
"Katsu Curry",18
"Salmon nigiri",19
"Pork sausage roll",19
"Philadelphia maki",19
"Fettuccine Alfredo",19
"Meatballs with sauce",19
"Pasta Carbonara",19
"Barbecue Ribs",19
"Ricotta stuffed Ravioli",19
"Califlower penne",19
"Pasta with Tomato and Basil",19
"Pasta and Beans",19
"Cheeseburger",19
"Chicken Fajitas",19
"French fries with sausages",19
"Lasagne",19
"Mushroom Risotto",19
"Chilli con carne",19
"Katsu Curry",19
"Pork belly buns",20
"Fettuccine Alfredo",20
"Barbecue Ribs",20
"Risotto with seafood",20
"Ricotta stuffed Ravioli",20
"Pasta with Tomato and Basil",20
"French fries with sausages",20
"Chicken wings",20
"Vegetable Soup",20
"Lasagne",20
"Teriyaki Chicken donburi",20
"California maki",20
"Katsu Curry",20
"Salmon nigiri",21
"Pork sausage roll",21
"Philadelphia maki",21
"Pasta Carbonara",21
"Pizza",21
"Barbecue Ribs",21
"Risotto with seafood",21
"Tuna sashimi",21
"Bruschette with Tomato",21
"Califlower penne",21
"Chicken Fajitas",21
"Mushroom Risotto",21
"Ebiten maki",21
"California maki",21
"Katsu Curry",21
"Pappardelle alla Bolognese",22
"Meatballs with sauce",22
"Pasta Carbonara",22
"Tuna sashimi",22
"Chicken milanese",22
"Ricotta stuffed Ravioli",22
"Califlower penne",22
"Pasta with Tomato and Basil",22
"Pasta and Beans",22
"Cheeseburger",22
"Mushroom Risotto",22
"Linguine with clams",22
"Teriyaki Chicken donburi",22
"Katsu Curry",22
"Caprese Salad",22
"Pappardelle alla Bolognese",23
"Barbecue Ribs",23
"Bruschette with Tomato",23
"Ricotta stuffed Ravioli",23
"Pasta with Tomato and Basil",23
"Souvlaki",23
"Caesar Salad",23
"Pasta and Beans",23
"Cheeseburger",23
"Vegetable Soup",23
"Lasagne",23
"Chilli con carne",23
"Ebiten maki",23
"Linguine with clams",23
"Teriyaki Chicken donburi",23
"Katsu Curry",23
"Caprese Salad",23
"Salmon nigiri",24
"Pasta Carbonara",24
"Pizza",24
"Barbecue Ribs",24
"Risotto with seafood",24
"Tuna sashimi",24
"Chicken milanese",24
"Bruschette with Tomato",24
"Ricotta stuffed Ravioli",24
"Cheeseburger",24
"Chicken Fajitas",24
"French fries with sausages",24
"Chicken wings",24
"Lasagne",24
"Mushroom Risotto",24
"Chilli con carne",24
"Ebiten maki",24
"Tiramisù",24
"Teriyaki Chicken donburi",24
"Fish and chips",24
"California maki",24
"Pappardelle alla Bolognese",25
"Pork sausage roll",25
"Fettuccine Alfredo",25
"Meatballs with sauce",25
"Pasta Carbonara",25
"Scotch eggs",25
"Pizza",25
"Risotto with seafood",25
"Tuna sashimi",25
"Souvlaki",25
"Caesar Salad",25
"Cheeseburger",25
"Chicken Fajitas",25
"Chilli con carne",25
"Ebiten maki",25
"Fish and chips",25
"California maki",25
"Katsu Curry",25
"Salmon nigiri",26
"Fettuccine Alfredo",26
"Meatballs with sauce",26
"Risotto with seafood",26
"Chicken milanese",26
"Ricotta stuffed Ravioli",26
"Pasta with Tomato and Basil",26
"Souvlaki",26
"Cheeseburger",26
"French fries with sausages",26
"Vegetable Soup",26
"Chilli con carne",26
"Ebiten maki",26
"Linguine with clams",26
"Tiramisù",26
"Teriyaki Chicken donburi",26
"California maki",26
"Katsu Curry",26
"Caprese Salad",26
"Salmon nigiri",27
"Pappardelle alla Bolognese",27
"Pork sausage roll",27
"Pizza",27
"Barbecue Ribs",27
"Risotto with seafood",27
"Tuna sashimi",27
"Chicken milanese",27
"Bruschette with Tomato",27
"Souvlaki",27
