"Salmon nigiri",1
"Pappardelle alla Bolognese",1
"Pork sausage roll",1
"Philadelphia maki",1
"Pork belly buns",1
"Fettuccine Alfredo",1
"Meatballs with sauce",1
"Pasta Carbonara",1
"Scotch eggs",1
"Pizza",1
"Barbecue Ribs",1
"Risotto with seafood",1
"Tuna sashimi",1
"Chicken milanese",1
"Bruschette with Tomato",1
"Ricotta stuffed Ravioli",1
"Califlower penne",1
"Pasta with Tomato and Basil",1
"Souvlaki",1
"Caesar Salad",1
"Pasta and Beans",1
"Cheeseburger",1
"Chicken Fajitas",1
"French fries with sausages",1
"Chicken wings",1
"Vegetable Soup",1
"Lasagne",1
"Mushroom Risotto",1
"Chilli con carne",1
"Ebiten maki",1
"Linguine with clams",1
"Tiramisù",1
"Teriyaki Chicken donburi",1
"Fish and chips",1
"California maki",1
"Katsu Curry",1
"Caprese Salad",1
"Salmon nigiri",2
"Pappardelle alla Bolognese",2
"Pork sausage roll",2
"Philadelphia maki",2
"Pork belly buns",2
"Fettuccine Alfredo",2
"Meatballs with sauce",2
"Pasta Carbonara",2
"Scotch eggs",2
"Pizza",2
"Barbecue Ribs",2
"Risotto with seafood",2
"Tuna sashimi",2
"Chicken milanese",2
"Bruschette with Tomato",2
"Ricotta stuffed Ravioli",2
"Califlower penne",2
"Pasta with Tomato and Basil",2
"Souvlaki",2
"Caesar Salad",2
"Pasta and Beans",2
"Cheeseburger",2
"Chicken Fajitas",2
"French fries with sausages",2
"Chicken wings",2
"Vegetable Soup",2
"Lasagne",2
"Mushroom Risotto",2
"Chilli con carne",2
"Ebiten maki",2
"Linguine with clams",2
"Tiramisù",2
"Teriyaki Chicken donburi",2
"Fish and chips",2
"California maki",2
"Katsu Curry",2
"Caprese Salad",2
"Salmon nigiri",3
"Pappardelle alla Bolognese",3
"Pork sausage roll",3
"Philadelphia maki",3
"Pork belly buns",3
"Fettuccine Alfredo",3
"Meatballs with sauce",3
"Pasta Carbonara",3
"Scotch eggs",3
"Pizza",3
"Barbecue Ribs",3
"Risotto with seafood",3
"Tuna sashimi",3
"Chicken milanese",3
"Bruschette with Tomato",3
"Ricotta stuffed Ravioli",3
"Califlower penne",3
"Pasta with Tomato and Basil",3
"Souvlaki",3
"Caesar Salad",3
"Pasta and Beans",3
"Cheeseburger",3
"Chicken Fajitas",3
"French fries with sausages",3
"Chicken wings",3
"Vegetable Soup",3
"Lasagne",3
"Mushroom Risotto",3
"Chilli con carne",3
"Ebiten maki",3
"Linguine with clams",3
"Tiramisù",3
"Teriyaki Chicken donburi",3
"Fish and chips",3
"California maki",3
"Katsu Curry",3
"Caprese Salad",3
"Salmon nigiri",4
"Pappardelle alla Bolognese",4
"Pork sausage roll",4
"Philadelphia maki",4
"Pork belly buns",4
"Fettuccine Alfredo",4
"Meatballs with sauce",4
"Pasta Carbonara",4
"Scotch eggs",4
"Pizza",4
"Barbecue Ribs",4
"Risotto with seafood",4
"Tuna sashimi",4
"Chicken milanese",4
"Bruschette with Tomato",4
"Ricotta stuffed Ravioli",4
"Califlower penne",4
"Pasta with Tomato and Basil",4
"Souvlaki",4
"Caesar Salad",4
"Pasta and Beans",4
"Cheeseburger",4
"Chicken Fajitas",4
"French fries with sausages",4
"Chicken wings",4
"Vegetable Soup",4
"Lasagne",4
"Mushroom Risotto",4
"Chilli con carne",4
"Ebiten maki",4
"Linguine with clams",4
"Tiramisù",4
"Teriyaki Chicken donburi",4
"Fish and chips",4
"California maki",4
"Katsu Curry",4
"Caprese Salad",4
"Salmon nigiri",5
"Pappardelle alla Bolognese",5
"Pork sausage roll",5
"Philadelphia maki",5
"Pork belly buns",5
"Fettuccine Alfredo",5
"Meatballs with sauce",5
"Pasta Carbonara",5
"Scotch eggs",5
"Pizza",5
"Barbecue Ribs",5
"Risotto with seafood",5
"Tuna sashimi",5
"Chicken milanese",5
"Bruschette with Tomato",5
"Ricotta stuffed Ravioli",5
"Califlower penne",5
"Pasta with Tomato and Basil",5
"Souvlaki",5
"Caesar Salad",5
"Pasta and Beans",5
"Cheeseburger",5
"Chicken Fajitas",5
"French fries with sausages",5
"Chicken wings",5
"Vegetable Soup",5
"Lasagne",5
"Mushroom Risotto",5
"Chilli con carne",5
"Ebiten maki",5
"Linguine with clams",5
"Tiramisù",5
"Teriyaki Chicken donburi",5
"Fish and chips",5
"California maki",5
"Katsu Curry",5
"Caprese Salad",5
"Salmon nigiri",6
"Pappardelle alla Bolognese",6
"Pork sausage roll",6
"Philadelphia maki",6
"Pork belly buns",6
"Fettuccine Alfredo",6
"Meatballs with sauce",6
"Pasta Carbonara",6
"Scotch eggs",6
"Pizza",6
"Barbecue Ribs",6
"Risotto with seafood",6
"Tuna sashimi",6
"Chicken milanese",6
"Bruschette with Tomato",6
"Ricotta stuffed Ravioli",6
"Califlower penne",6
"Pasta with Tomato and Basil",6
"Souvlaki",6
"Caesar Salad",6
"Pasta and Beans",6
"Cheeseburger",6
"Chicken Fajitas",6
"French fries with sausages",6
"Chicken wings",6
"Vegetable Soup",6
"Lasagne",6
"Mushroom Risotto",6
"Chilli con carne",6
"Ebiten maki",6
"Linguine with clams",6
"Tiramisù",6
"Teriyaki Chicken donburi",6
"Fish and chips",6
"California maki",6
"Katsu Curry",6
"Caprese Salad",6
"Salmon nigiri",7
"Pappardelle alla Bolognese",7
"Pork sausage roll",7
"Philadelphia maki",7
"Pork belly buns",7
"Fettuccine Alfredo",7
"Meatballs with sauce",7
"Pasta Carbonara",7
"Scotch eggs",7
"Pizza",7
"Barbecue Ribs",7
"Risotto with seafood",7
"Tuna sashimi",7
"Chicken milanese",7
"Bruschette with Tomato",7
"Ricotta stuffed Ravioli",7
"Califlower penne",7
"Pasta with Tomato and Basil",7
"Souvlaki",7
"Caesar Salad",7
"Pasta and Beans",7
"Cheeseburger",7
"Chicken Fajitas",7
"French fries with sausages",7
"Chicken wings",7
"Vegetable Soup",7
"Lasagne",7
"Mushroom Risotto",7
"Chilli con carne",7
"Ebiten maki",7
"Linguine with clams",7
"Tiramisù",7
"Teriyaki Chicken donburi",7
"Fish and chips",7
"California maki",7
"Katsu Curry",7
"Caprese Salad",7
"Salmon nigiri",8
"Pappardelle alla Bolognese",8
"Pork sausage roll",8
"Philadelphia maki",8
"Pork belly buns",8
"Fettuccine Alfredo",8
"Meatballs with sauce",8
"Pasta Carbonara",8
"Scotch eggs",8
"Pizza",8
"Barbecue Ribs",8
"Risotto with seafood",8
"Tuna sashimi",8
"Chicken milanese",8
"Bruschette with Tomato",8
"Ricotta stuffed Ravioli",8
"Califlower penne",8
"Pasta with Tomato and Basil",8
"Souvlaki",8
"Caesar Salad",8
"Pasta and Beans",8
"Cheeseburger",8
"Chicken Fajitas",8
"French fries with sausages",8
"Chicken wings",8
"Vegetable Soup",8
"Lasagne",8
"Mushroom Risotto",8
"Chilli con carne",8
"Ebiten maki",8
"Linguine with clams",8
"Tiramisù",8
"Teriyaki Chicken donburi",8
"Fish and chips",8
"California maki",8
"Katsu Curry",8
"Caprese Salad",8
"Salmon nigiri",9
"Pappardelle alla Bolognese",9
"Pork sausage roll",9
"Philadelphia maki",9
"Pork belly buns",9
"Fettuccine Alfredo",9
"Meatballs with sauce",9
"Pasta Carbonara",9
"Scotch eggs",9
"Pizza",9
"Barbecue Ribs",9
"Risotto with seafood",9
"Tuna sashimi",9
"Chicken milanese",9
"Bruschette with Tomato",9
"Ricotta stuffed Ravioli",9
"Califlower penne",9
"Pasta with Tomato and Basil",9
"Souvlaki",9
"Caesar Salad",9
"Pasta and Beans",9
"Cheeseburger",9
"Chicken Fajitas",9
"French fries with sausages",9
"Chicken wings",9
"Vegetable Soup",9
"Lasagne",9
"Mushroom Risotto",9
"Chilli con carne",9
"Ebiten maki",9
"Linguine with clams",9
"Tiramisù",9
"Teriyaki Chicken donburi",9
"Fish and chips",9
"California maki",9
"Katsu Curry",9
"Caprese Salad",9
"Salmon nigiri",10
"Pappardelle alla Bolognese",10
"Pork sausage roll",10
"Philadelphia maki",10
"Pork belly buns",10
"Fettuccine Alfredo",10
"Meatballs with sauce",10
"Pasta Carbonara",10
"Scotch eggs",10
"Pizza",10
"Barbecue Ribs",10
"Risotto with seafood",10
"Tuna sashimi",10
"Chicken milanese",10
"Bruschette with Tomato",10
"Ricotta stuffed Ravioli",10
"Califlower penne",10
"Pasta with Tomato and Basil",10
"Souvlaki",10
"Caesar Salad",10
"Pasta and Beans",10
"Cheeseburger",10
"Chicken Fajitas",10
"French fries with sausages",10
"Chicken wings",10
"Vegetable Soup",10
"Lasagne",10
"Mushroom Risotto",10
"Chilli con carne",10
"Ebiten maki",10
"Linguine with clams",10
"Tiramisù",10
"Teriyaki Chicken donburi",10
"Fish and chips",10
"California maki",10
"Katsu Curry",10
"Caprese Salad",10
"Salmon nigiri",11
"Pappardelle alla Bolognese",11
"Pork sausage roll",11
"Philadelphia maki",11
"Pork belly buns",11
"Fettuccine Alfredo",11
"Meatballs with sauce",11
"Pasta Carbonara",11
"Scotch eggs",11
"Pizza",11
"Barbecue Ribs",11
"Risotto with seafood",11
"Tuna sashimi",11
"Chicken milanese",11
"Bruschette with Tomato",11
"Ricotta stuffed Ravioli",11
"Califlower penne",11
"Pasta with Tomato and Basil",11
"Souvlaki",11
"Caesar Salad",11
"Pasta and Beans",11
"Cheeseburger",11
"Chicken Fajitas",11
"French fries with sausages",11
"Chicken wings",11
"Vegetable Soup",11
"Lasagne",11
"Mushroom Risotto",11
"Chilli con carne",11
"Ebiten maki",11
"Linguine with clams",11
"Tiramisù",11
"Teriyaki Chicken donburi",11
"Fish and chips",11
"California maki",11
"Katsu Curry",11
"Caprese Salad",11
"Salmon nigiri",12
"Pappardelle alla Bolognese",12
"Pork sausage roll",12
"Philadelphia maki",12
"Pork belly buns",12
"Fettuccine Alfredo",12
"Meatballs with sauce",12
"Pasta Carbonara",12
"Scotch eggs",12
"Pizza",12
"Barbecue Ribs",12
"Risotto with seafood",12
"Tuna sashimi",12
"Chicken milanese",12
"Bruschette with Tomato",12
"Ricotta stuffed Ravioli",12
"Califlower penne",12
"Pasta with Tomato and Basil",12
"Souvlaki",12
"Caesar Salad",12
"Pasta and Beans",12
"Cheeseburger",12
"Chicken Fajitas",12
"French fries with sausages",12
"Chicken wings",12
"Vegetable Soup",12
"Lasagne",12
"Mushroom Risotto",12
"Chilli con carne",12
"Ebiten maki",12
"Linguine with clams",12
"Tiramisù",12
"Teriyaki Chicken donburi",12
"Fish and chips",12
"California maki",12
"Katsu Curry",12
"Caprese Salad",12
"Salmon nigiri",13
"Pappardelle alla Bolognese",13
"Pork sausage roll",13
"Philadelphia maki",13
"Pork belly buns",13
"Fettuccine Alfredo",13
"Meatballs with sauce",13
"Pasta Carbonara",13
"Scotch eggs",13
"Pizza",13
"Barbecue Ribs",13
"Risotto with seafood",13
"Tuna sashimi",13
"Chicken milanese",13
"Bruschette with Tomato",13
"Ricotta stuffed Ravioli",13
"Califlower penne",13
"Pasta with Tomato and Basil",13
"Souvlaki",13
"Caesar Salad",13
"Pasta and Beans",13
"Cheeseburger",13
"Chicken Fajitas",13
"French fries with sausages",13
"Chicken wings",13
"Vegetable Soup",13
"Lasagne",13
"Mushroom Risotto",13
"Chilli con carne",13
"Ebiten maki",13
"Linguine with clams",13
"Tiramisù",13
"Teriyaki Chicken donburi",13
"Fish and chips",13
"California maki",13
"Katsu Curry",13
"Caprese Salad",13
"Salmon nigiri",14
"Pappardelle alla Bolognese",14
"Pork sausage roll",14
"Philadelphia maki",14
"Pork belly buns",14
"Fettuccine Alfredo",14
"Meatballs with sauce",14
"Pasta Carbonara",14
"Scotch eggs",14
"Pizza",14
"Barbecue Ribs",14
"Risotto with seafood",14
